"wdhOak","SH","dist"
3.747,1.432,197.121852720081
3.73,1.376,193.56878641
3.745,1.102,196.701326250625
3.595,1.127,167.030422200625
3.428,1.128,138.090325401856
3.315,1.154,120.763066100625
3.129,1.149,95.856651190881
3.001,1.135,81.108054012001
2.982,0.905,79.073426120976
3.465,0.667,144.149438750625
3.472,0.748,145.317817286656
3.431,0.825,138.574357041121
3.624,0.863,172.485565157376
3.658,0.769,179.050197569296
3.869,0.213,224.075781043921
4.46,0.295,395.67575056
4.382,0.46,368.713885301776
4.514,0.522,415.189363430416
4.464,0.558,397.097125871616
4.467,0.638,398.165667819921
4.558,0.695,431.615749332496
4.47,0.736,399.23636481
4.419,0.801,381.325638608721
4.461,1.007,396.030736071441
4.421,1.032,382.016445748081
4.597,1.169,446.578710143281
4.566,1.241,434.653947902736
4.482,1.237,403.540761128976
4.435,1.272,386.878412100625
4.293,1.297,339.659334162801
4.249,1.253,325.946952108001
4.229,1.314,319.853229882481
4.278,1.345,334.936996048656
4.386,1.38,370.062015104016
4.416,1.581,380.291185115136
4.416,1.612,380.291185115136
4.487,1.665,405.344493982561
4.294,1.533,339.975922126096
4.15,1.564,296.61450625
4.038,1.487,265.867504037136
3.901,1.426,231.581467275601
3.919,1.358,235.885395990721
3.878,1.326,226.168031965456
4.039,1.372,266.130967417441
3.191,1.937,103.682919315361
3.543,1.582,157.574018016801
3.512,1.467,152.131108212736
3.486,1.291,147.675867622416
3.456,0.447,142.657607172096
3.402,0.323,133.948309548816
3.358,0.108,127.151874554896
3.913,0.091,234.444145241761
3.53,0.208,155.27402881
4.238,0.603,322.584732894736
4.076,0.561,276.017552978176
4.189,0.825,307.922512293841
4.221,1.001,317.439823219281
4.081,1.07,277.374402102721
3.927,1.15,237.817388126241
4.868,0.013,561.567904235776
4.775,0.027,519.868500390625
4.826,0.352,542.436956156176
4.716,0.187,494.646779310336
4.79,0.548,526.43172481
4.629,0.618,459.143798824881
5.282,0.353,778.383439426576
5.372,0.159,832.806327091456
5.578,0.191,968.086223159056
5.394,0.798,846.532757895696
5.256,0.799,763.170239287296
5.324,0.806,803.437664440576
4.786,0.884,524.675490393616
4.654,1.074,469.143297200656
4.74,1.05,504.79304976
4.712,1.409,492.970722267136
4.739,1.429,504.367198850641
4.738,1.475,503.941617438736
4.692,1.466,484.654236938496
4.582,1.415,440.778435836176
4.599,1.495,447.356382941601
4.862,1.465,558.804401233936
5.045,1.162,647.805576600625
4.876,1.615,565.268503941376
4.829,1.608,543.787000816081
4.917,1.654,584.521961718321
4.979,1.61,614.565964974481
4.986,1.571,618.029345158416
3.885,1.665,227.805440900625
3.935,1.675,239.761223850625
3.784,1.665,205.023909646336
3.651,1.725,177.683594699601
3.785,1.791,205.240722750625
3.902,1.85,231.819017164816
4.065,1.855,273.050011850625
4.006,1.936,257.539459457296
3.805,2.001,209.613207900625
3.818,2.142,212.492544111376
3.569,1.877,162.250555293121
4.689,1.743,483.415900331841
4.685,1.658,481.768478100625
4.723,1.781,497.590158679441
4.611,1.848,452.043770665041
4.495,1.857,408.243035250625
4.436,1.905,387.227462185216
4.438,1.928,387.926270872336
4.501,1.907,410.427121518001
4.393,2.03,372.430133805601
4.455,2.06,393.904401350625
4.441,2.142,388.976256795361
4.412,2.295,378.915189473536
5.076,1.93,663.875212882176
5.164,1.83,711.123342274816
5.1,1.751,676.5201
5.276,1.754,774.852694302976
5.314,1.726,797.418304051216
5.345,1.7,816.189189450625
5.225,1.68,745.324125390625
4.695,2.019,485.894951150625
4.215,1.945,315.638750750625
4.197,2.064,310.281496106481
4.289,1.831,338.395192861441
4.452,1.77,392.844450652416
4.763,2.321,514.662263896561
5.667,2.536,1031.36609548232
5.11,2.066,681.84176641
5.15,2.03,703.44300625
5.333,1.599,808.884167110321
5.14,1.481,697.99526416
5.168,1.457,713.329229234176
5.294,1.42,785.481114862096
5.344,1.331,815.578555088896
5.328,1.266,805.854925357056
5.079,1.015,665.446049730081
5.18,0.58,719.97768976
5.207,0.55,735.106580896801
5.616,0.63,994.737284775936
5.627,0.585,1002.55373807064
5.834,0.391,1158.41907222914
5.65,0.402,1019.04600625
5.662,0.338,1027.73100836354
6.156,0.424,1436.1322822249
6.065,0.691,1353.07920885063
5.845,0.827,1167.18060420062
5.761,0.932,1101.51775275264
5.627,1.014,1002.55373807064
5.489,1.058,907.763932232641
5.572,1.102,963.927634329856
5.677,1.195,1038.66519013224
5.887,0.179,1201.09163751936
4.915,0.329,583.571519700625
4.94,0.356,595.53569296
5.487,0.944,906.441625194561
5.427,0.946,867.439683524241
6.703,0.009,2018.72368078368
5.283,0.01,778.973067987921
6.878,0.198,2237.94127378946
7.587,0.632,3313.44934987976
6.791,0.623,2126.84050081776
6.873,0.73,2231.44083142064
6.127,0.796,1409.26128533664
7.761,0.926,3628.02886540064
7.68,0.994,3478.92350976
7.532,0.956,3218.40908408858
6.446,1.06,1726.47862043906
6.729,1.155,2050.22777727248
6.425,1.178,1704.09000039062
6.311,1.168,1586.32701649584
6.202,1.136,1479.54114675842
7.564,1.203,3273.45278109722
7.233,1.15,2736.99409473152
7.341,1.127,2904.16238625896
7.444,1.106,3070.6156413545
7.244,1.627,2753.6818784873
6.999,1.516,2399.628293972
6.967,1.381,2356.04316094992
6.49,1.368,1774.10282401
6.114,1.43,1397.33886195202
7.402,1.307,3001.90070647682
6.701,1.444,2016.3154213668
6.788,1.531,2123.08476837914
6.36,1.703,1636.17014016
6.428,1.716,1707.27496642586
6.364,1.76,1640.29017624602
5.929,1.563,1235.73629154768
6.013,1.636,1307.26855675656
5.732,1.61,1079.50517071898
5.7,1.682,1055.6001
5.711,1.737,1063.77221010144
6.048,1.949,1337.97232351642
6.626,2.066,1927.55032782338
5.668,1.388,1032.09426849818
5.556,1.383,952.903557386496
5.676,1.451,1037.93354258458
6.522,1.617,1809.35247108226
5.696,1.897,1052.64012958106
6.133,2.133,1414.78960018872
6.178,2.358,1456.77210192386
5.444,2.137,878.359830282496
